No,Title,Rating,Votes,Duration,Genre
486,We Were the Lucky Ones,8.7,235,1h 13m,war
487,La case du siècle,6.6,8,53m,war
488,Dictators' Hideouts,7.0,5,,war
489,Dictators' Hideouts,,0,,war
490,Dictators' Hideouts,7.2,5,,war
491,Dictators' Hideouts,,0,,war
492,Dictators' Hideouts,,0,,war
493,Dictators' Hideouts,,0,,war
494,Die Spaltung der Welt,8.0,31,,war
495,Die Spaltung der Welt,8.2,26,,war
496,Die Spaltung der Welt,8.2,21,,war
497,Die Spaltung der Welt,8.7,21,,war
498,Die Spaltung der Welt,8.3,23,,war
499,Die Spaltung der Welt,8.7,23,52m,war
500,Whiskey on the Rocks,7.2,110,31m,war
501,Heaven Official's Blessing,9.1,65,21m,war
502,Heaven Official's Blessing,8.9,63,25m,war
503,Korea-Khitan War,8.4,15,,war
504,Korea-Khitan War,8.9,13,,war
505,Korea-Khitan War,8.6,9,,war
506,Korea-Khitan War,8.9,8,,war
507,Korea-Khitan War,8.6,7,,war
508,Korea-Khitan War,8.1,9,,war
509,Korea-Khitan War,9.1,8,,war
510,Korea-Khitan War,8.4,10,,war
511,Korea-Khitan War,9.3,8,,war
512,Korea-Khitan War,9.3,11,,war
513,Korea-Khitan War,8.7,18,,war
514,Korea-Khitan War,8.6,10,,war
515,Korea-Khitan War,9.4,10,,war
516,Korea-Khitan War,9.4,15,,war
517,Korea-Khitan War,9.6,16,,war
518,Korea-Khitan War,9.3,8,,war
519,Korea-Khitan War,9.5,10,,war
520,Korea-Khitan War,8.6,7,,war
521,Fortune de France,6.8,9,55m,war
522,Fortune de France,6.5,8,49m,war
523,Fortune de France,6.5,8,49m,war
524,Fortune de France,6.6,7,49m,war
525,Fortune de France,7.0,7,54m,war
526,Fortune de France,6.7,7,46m,war
527,La Storia,7.4,26,55m,war
528,SuperMarioLogan,,0,,war
529,Ukraine on Fire 2,,0,,war
530,Ukraine on Fire 2,,0,,war
531,Ukraine on Fire 2,,0,,war
532,Ukraine on Fire 2,9.2,11,,war
533,Zhen cha ying xiong,,0,,war
534,"Was tun, Herr General? - Der Podcast zum Ukraine-Krieg",,0,,war
535,SuperMarioLogan,,0,,war
536,Unsubscribe Podcast,,0,,war
537,Hitler's Engineers: Building the Third Reich,7.8,6,,war
538,SuperMarioLogan,,0,,war
539,La Storia,6.8,20,48m,war
540,La Storia,7.0,17,55m,war
541,La Storia,6.9,16,53m,war
542,La Storia,7.1,15,58m,war
543,La Storia,6.6,14,51m,war
544,La Storia,6.6,13,55m,war
545,La Storia,6.8,15,1h,war
546,"Was tun, Herr General? - Der Podcast zum Ukraine-Krieg",,0,,war
547,Establishment: Osman,8.8,50,,war
548,SuperMarioLogan,,0,,war
549,"Was tun, Herr General? - Der Podcast zum Ukraine-Krieg",,0,,war
550,Hitler's Engineers: Building the Third Reich,7.2,5,,war
551,SuperMarioLogan,,0,,war
552,Ukraine on Fire 2,,0,,war
553,Ukraine on Fire 2,,0,,war
554,Ukraine on Fire 2,8.4,5,,war
555,Ukraine on Fire 2,,0,,war
556,Ukraine on Fire 2,,0,,war
557,Ukraine on Fire 2,9.2,6,,war
558,Ukraine on Fire 2,8.6,5,,war
559,Ukraine on Fire 2,8.8,6,,war
560,Ukraine on Fire 2,9.0,6,,war
561,Kingdom,8.7,333,,war
562,SuperMarioLogan,,0,,war
563,"Was tun, Herr General? - Der Podcast zum Ukraine-Krieg",,0,,war
564,Establishment: Osman,9.3,49,,war
565,SuperMarioLogan,,0,,war
566,Unsubscribe Podcast,,0,1h 36m,war
567,Heaven Official's Blessing,9.0,41,28m,war
