No,Title,Rating,Votes,Duration,Genre,Duration_Min
309,Hyper: The Stevie Hyper D Story,8.8,31,1h 31m,biography,91.0
310,Kylie Minogue: Pop Icon,5.5,14,50m,biography,50.0
311,Blues Run the Game: The Strange Tale of Jackson C. Frank,5.8,7,,biography,
312,MatPat the Movie,9.0,27,,biography,
313,The Preacher,,0,52m,biography,52.0
314,Bhanu,,0,2h 14m,biography,134.0
315,Un hombre libre,8.1,15,1h 28m,biography,88.0
316,Comrade Yuri,,0,,biography,
317,Yaremchuk: Nezrivniannyi svit krasy,8.6,489,1h 32m,biography,92.0
318,The Razor's Edge,,0,1h 10m,biography,70.0
319,Padu,5.2,84,1h 37m,biography,97.0
320,Shahid,6.6,89,1h 24m,biography,84.0
321,Marconi,7.3,40,,biography,
322,Manyam Dheerudu,5.8,3700,1h 54m,biography,114.0
323,You Are Always Right Here,,0,,biography,
324,Song of the Last Lacandon Holy Man,,0,1h 7m,biography,67.0
325,"Romário, O Cara",7.9,281,,biography,
326,James Brown: Say It Loud,7.6,124,,biography,
327,Bach - Ein Weihnachtswunder,6.2,173,1h 29m,biography,89.0
328,COMA,8.7,14,1h 20m,biography,80.0
329,"Marisol, llámame Pepa",6.8,121,1h 27m,biography,87.0
330,Ángel Di María: Breaking Down the Wall,7.8,661,,biography,
331,Hikaru Kimi e,7.7,48,,biography,
332,"TMZ Presents: Arnold & Sly - Rivals, Friends, Icons",7.2,281,43m,biography,43.0
333,Maurice And I,8.8,28,1h 38m,biography,98.0
334,Gummadi Narsaiah Biopic,,0,,biography,
335,El rei Peret,5.5,41,,biography,
336,Knock Out Blonde: The Kellie Maloney Story,6.0,24,1h 30m,biography,90.0
337,Niepewnosc. Zakochany Mickiewicz,3.7,56,1h 53m,biography,113.0
338,Kasparov: Chess Rebel,7.2,47,54m,biography,54.0
339,Hunting Mr Nice: The Cannabis Kingpin,7.7,38,,biography,
340,Ruki vverkh!,5.5,277,1h 42m,biography,102.0
341,Joachim and the Apocalypse,7.7,17,1h 30m,biography,90.0
342,Don't Ever Stop,9.5,34,1h 25m,biography,85.0
343,National Theatre Live: Underdog: The Other Other Brontë,4.3,26,,biography,
344,Los Años Heridos,,0,,biography,
345,Sr. Rui,7.1,120,,biography,
346,Mao - Chinas roter Kaiser,7.3,42,,biography,
347,"Sean Penn, L'enfant terrible de l'Amérique",6.9,55,52m,biography,52.0
348,"François Truffaut, le scénario de ma vie",6.9,52,1h 38m,biography,98.0
349,Zuckerberg: King of the Metaverse,5.8,267,1h 30m,biography,90.0
350,Harimau Malaya: The Untold Journey,8.2,24,2h 5m,biography,125.0
351,Dragon Boy,,0,23m,biography,23.0
352,Alí Primera,,0,,biography,
353,Seu Cavalcanti,,0,1h 18m,biography,78.0
354,Nonkonform,7.7,25,1h 57m,biography,117.0
355,Tony,6.6,31,,biography,
356,Blake Edwards: A Love Story in 24 Frames,7.5,82,,biography,
357,Até Onde Ela Vai,8.4,16,,biography,
358,E. Jean Carroll v. Donald Trump,,0,20m,biography,20.0
359,Rhythm of a Flower,7.3,15,1h 21m,biography,81.0
360,Der Soldat Monika,6.8,32,1h 49m,biography,109.0
361,Alaska Revelada,7.3,97,,biography,
362,Ninety Minutes Later,7.4,9,1h 28m,biography,88.0
363,Meri Maa Karma,,0,,biography,
364,Beckenbauer,7.1,79,1h 29m,biography,89.0
365,Becoming Nawalny - Putins Staatsfeind Nr. 1,7.3,71,1h 29m,biography,89.0
366,Bad Bunny: Global Takeover,,0,1h,biography,60.0
367,The Truth: The Journey Within,6.3,10,1h 31m,biography,91.0
368,Tora ni Tsubasa,8.6,40,,biography,
369,Dissolution,8.6,10,14m,biography,14.0
370,Diddy: Summit to Plummet,2.4,224,1h,biography,60.0
371,Califano,6.9,70,,biography,
372,Take That's Greatest Days: 30 Years in the Making,,0,1h 12m,biography,72.0
373,The Rise and Fall of Boris Johnson,7.7,128,,biography,
374,Gulag Eros of the Russian Mind,,0,56m,biography,56.0
375,Boy,,0,,biography,
376,Light Blue,4.2,131,,biography,
377,Waldo,6.8,21,1h 44m,biography,104.0
378,"Cruel, Usual, Necessary: The Passion of Silvio Narizzano",,0,2h 14m,biography,134.0
379,All Access to Rossa 25 Shining Years,8.7,66,1h 31m,biography,91.0
380,Tu nombre y el mío,6.3,6,,biography,
381,Ett hjärta är alltid rött,7.1,406,1h 43m,biography,103.0
382,Beethoven's Nine: Ode to Humanity,6.8,27,1h 25m,biography,85.0
383,Satan Panonski Hrvatski GG Allin,,0,27m,biography,27.0
384,Charmian Clift: Life Burns High,7.9,15,1h 20m,biography,80.0
385,Il giovane Berlusconi,6.8,167,,biography,
386,Looking for Simone,6.9,17,1h 33m,biography,93.0
387,The Knowing,,0,,biography,
388,Ray of Hope,7.5,13,1h 45m,biography,105.0
389,Majnoon,6.9,35,,biography,
390,Me Dicen El Panzer,7.6,11,1h 30m,biography,90.0
391,Lulu in Turin,8.5,6,1h 16m,biography,76.0
392,The West Sky,5.1,148,,biography,
393,Nine Lives of...,5.0,58,,biography,
394,Fedya. Narodnyy futbolist,6.1,143,2h 5m,biography,125.0
395,"Dolly Parton: Bigger Hair, Bigger Heart",7.4,13,1h,biography,60.0
396,Riv i hjertet,7.2,39,1h 47m,biography,107.0
397,Martin Scorsese - L'Italo-Américain,7.0,81,53m,biography,53.0
398,Pra Sempre Paquitas,7.3,102,,biography,
399,Com'è umano lui!,6.7,85,1h 44m,biography,104.0
400,Sigourney Weaver - Actionheldin und Stil-Ikone,6.5,63,53m,biography,53.0
401,A nuestros amigos,7.5,17,1h 30m,biography,90.0
402,Uma Thurman: Die stille Kämpferin Hollywoods,6.4,46,52m,biography,52.0
403,Shaking It Up: The Life and Times of Liz Carpenter,8.0,10,1h 17m,biography,77.0
404,Laura H.,6.7,136,,biography,
405,El Pulmo,,0,32m,biography,32.0
406,Kokuhaku,8.1,25,15m,biography,15.0
407,Dad and I: The Legacy of Timothy J. Dunn,,0,2h 23m,biography,143.0
408,Soares é Fixe,4.8,80,1h 23m,biography,83.0
409,Tuber,7.4,18,,biography,
410,Giroud,6.7,33,1h 20m,biography,80.0
411,Rory Gallagher: Calling Card,8.9,12,,biography,
412,Kelyfos,,0,,biography,
413,Hancsovszky,7.8,21,,biography,
414,Imperatritsy,6.2,9,,biography,
415,Chitãozinho & Xororó - Uma História de Sucesso,,0,,biography,
416,Izvan vremena,,0,1h 35m,biography,95.0
417,Paul Anka: His Way,7.3,12,1h 40m,biography,100.0
418,Biography of Persian Angelina Jolie Look Alike,,0,,biography,
419,Xie shi ren sheng,,0,,biography,
420,Sognare è vivere - La leggenda di Porto Rafael,,0,,biography,
421,Mythical Creatures,,0,1h 30m,biography,90.0
422,Main Mulayam Singh Yadav,3.8,202,2h,biography,120.0
423,Dion & Denver,,0,,biography,
424,Guga by Kuerten,7.7,161,,biography,
425,Kushstock: The Movie,,0,,biography,
426,Pandit Ayachi,,0,1h 4m,biography,64.0
427,Esta ambición desmedida,6.9,295,,biography,
428,Belov: Uma Vida no Mar,,0,18m,biography,18.0
429,Mini Avengers,,0,3h 20m,biography,200.0
430,The Man Died,3.0,8,1h 45m,biography,105.0
431,Pod szarym niebem,7.2,54,1h 21m,biography,81.0
