No,Title,Rating,Votes,Duration,Genre
341,Territory,7.5,258,1h 1m,western
342,Territory,7.5,248,55m,western
343,Territory,7.6,245,54m,western
344,Territory,7.7,258,56m,western
345,Billy the Kid,8.0,119,46m,western
346,Billy the Kid,8.1,102,46m,western
347,Billy the Kid,8.3,110,51m,western
348,Billy the Kid,8.3,109,49m,western
349,The Tall Tales of Jim Bridger,8.7,25,,western
350,The Tall Tales of Jim Bridger,8.2,16,,western
351,The Tall Tales of Jim Bridger,8.0,17,,western
352,The Tall Tales of Jim Bridger,8.2,11,,western
353,The Tall Tales of Jim Bridger,8.4,14,,western
354,The Tall Tales of Jim Bridger,8.3,11,,western
355,The Tall Tales of Jim Bridger,8.7,9,,western
356,The Tall Tales of Jim Bridger,7.4,9,,western
357,The Tall Tales of Jim Bridger,8.0,10,,western
358,The Tall Tales of Jim Bridger,8.6,11,,western
359,SuperMarioLogan,,0,,western
360,Dino Ranch,7.2,6,,western
361,Dino Ranch,,0,,western
362,SuperMarioLogan,,0,,western
363,The Goodbye Family: The Animated Series,,0,,western
364,Walker,7.6,155,41m,western
365,SuperMarioLogan,,0,,western
366,Dino Ranch,,0,,western
367,Ain't Slayed Nobody,,0,,western
368,SuperMarioLogan,,0,,western
369,The Goodbye Family: The Animated Series,,0,,western
370,SuperMarioLogan,,0,,western
371,SuperMarioLogan,,0,,western
372,The Goodbye Family: The Animated Series,,0,,western
373,Ain't Slayed Nobody,,0,,western
374,SuperMarioLogan,,0,,western
375,SuperMarioLogan,,0,,western
376,SuperMarioLogan,,0,,western
377,Ain't Slayed Nobody,,0,,western
378,SuperMarioLogan,,0,,western
379,Lorin Morgan-Richards Presents Biographies of the West,,0,,western
380,SuperMarioLogan,,0,,western
381,SuperMarioLogan,,0,,western
382,Elkhorn,7.3,41,,western
383,Lorin Morgan-Richards Presents Biographies of the West,,0,,western
384,Ain't Slayed Nobody,,0,,western
385,SuperMarioLogan,,0,,western
386,Elkhorn,8.4,40,,western
387,Elkhorn,8.0,22,,western
388,Bullet Catcher,,0,,western
389,SuperMarioLogan,,0,,western
390,SuperMarioLogan,,0,,western
391,Elkhorn,8.2,21,,western
392,Elkhorn,7.9,20,,western
393,Elkhorn,8.2,18,,western
394,Elkhorn,7.9,17,,western
395,Elkhorn,8.5,20,,western
396,Elkhorn,8.3,19,,western
397,Elkhorn,8.5,19,,western
398,Ain't Slayed Nobody,,0,,western
399,SuperMarioLogan,,0,,western
400,Into the Wild Frontier,,0,,western
401,Into the Wild Frontier,8.8,5,,western
402,Into the Wild Frontier,9.0,7,,western
403,Into the Wild Frontier,,0,,western
404,Into the Wild Frontier,9.3,10,,western
405,Into the Wild Frontier,9.0,6,,western
406,Into the Wild Frontier,,0,,western
407,SuperMarioLogan,,0,,western
408,SuperMarioLogan,,0,,western
409,Ain't Slayed Nobody,,0,,western
410,SuperMarioLogan,,0,,western
411,SuperMarioLogan,,0,,western
412,SuperMarioLogan,,0,,western
413,MechWest,8.4,14,23m,western
414,SuperMarioLogan,,0,,western
415,The Goodbye Family: The Animated Series,,0,,western
416,SuperMarioLogan,,0,,western
417,SuperMarioLogan,,0,,western
418,SuperMarioLogan,,0,,western
419,SuperMarioLogan,,0,,western
420,SuperMarioLogan,,0,,western
421,The Goodbye Family: The Animated Series,,0,,western
422,SuperMarioLogan,,0,,western
423,SuperMarioLogan,,0,,western
424,Lorin Morgan-Richards Presents Biographies of the West,,0,,western
425,SuperMarioLogan,,0,,western
426,Golden Kamuy: The Hunt of Prisoners in Hokkaido,7.6,35,54m,western
427,SuperMarioLogan,,0,,western
428,SuperMarioLogan,,0,,western
429,Ain't Slayed Nobody,,0,,western
430,SuperMarioLogan,,0,,western
431,SuperMarioLogan,,0,,western
432,Plunder Pictures Short Films,,0,,western
433,SuperMarioLogan,,0,,western
434,The Goodbye Family: The Animated Series,,0,,western
435,Ain't Slayed Nobody,,0,,western
436,SuperMarioLogan,,0,,western
437,SuperMarioLogan,,0,,western
438,SuperMarioLogan,,0,,western
439,Ain't Slayed Nobody,,0,,western
440,SuperMarioLogan,,0,,western
441,SuperMarioLogan,,0,,western
442,SuperMarioLogan,,0,,western
443,Walker,7.5,140,40m,western
444,Dino Ranch,,0,,western
445,SuperMarioLogan,,0,,western
446,Walker,7.8,136,42m,western
447,SuperMarioLogan,,0,,western
448,Walker,8.2,101,43m,western
449,Walker,7.6,111,45m,western
450,SuperMarioLogan,,0,,western
451,SuperMarioLogan,,0,,western
452,The Goodbye Family: The Animated Series,,0,,western
453,SuperMarioLogan,,0,,western
454,Dino Ranch,,0,,western
455,Ain't Slayed Nobody,,0,,western
456,SuperMarioLogan,,0,,western
457,Walker,8.1,127,42m,western
458,SuperMarioLogan,,0,,western
459,Lorin Morgan-Richards Presents Biographies of the West,,0,,western
460,SuperMarioLogan,,0,,western
461,Ain't Slayed Nobody,,0,,western
462,SuperMarioLogan,,0,,western
463,Walker,7.6,121,42m,western
464,SuperMarioLogan,,0,,western
465,Dino Ranch,,0,,western
466,Dino Ranch,,0,,western
467,Dino Ranch,,0,,western
468,SuperMarioLogan,,0,,western
469,Ain't Slayed Nobody,,0,,western
470,The Goodbye Family: The Animated Series,,0,,western
471,SuperMarioLogan,,0,,western
472,Walker,8.0,119,42m,western
473,SuperMarioLogan,,0,,western
474,SuperMarioLogan,,0,,western
475,RanchHer,,0,,western
476,RanchHer,,0,,western
477,RanchHer,,0,,western
478,RanchHer,,0,,western
479,RanchHer,,0,,western
480,RanchHer,,0,,western
481,Ain't Slayed Nobody,,0,,western
482,SuperMarioLogan,,0,,western
483,Walker,7.8,117,41m,western
484,Walker,8.1,104,42m,western
485,Walker,8.4,103,42m,western
486,Walker,7.5,127,42m,western
487,SuperMarioLogan,,0,,western
488,Dino Ranch,,0,,western
489,SuperMarioLogan,,0,,western
490,Lorin Morgan-Richards Presents Biographies of the West,,0,,western
491,Dino Ranch,,0,,western
492,Ain't Slayed Nobody,,0,,western
493,SuperMarioLogan,,0,,western
494,SuperMarioLogan,,0,,western
495,The Goodbye Family: The Animated Series,,0,,western
496,SuperMarioLogan,,0,,western
497,Dino Ranch,,0,,western
498,Ain't Slayed Nobody,,0,,western
499,SuperMarioLogan,,0,,western
500,Ain't Slayed Nobody,,0,,western
501,SuperMarioLogan,,0,,western
502,SuperMarioLogan,,0,,western
503,Ain't Slayed Nobody,,0,,western
504,The Goodbye Family: The Animated Series,,0,,western
505,SuperMarioLogan,,0,,western
506,SuperMarioLogan,,0,,western
507,Fanny and the Pack,,0,,western
508,SuperMarioLogan,,0,,western
509,SuperMarioLogan,,0,,western
510,SuperMarioLogan,,0,,western
511,Edith!,,0,,western
512,SuperMarioLogan,,0,,western
513,Dino Ranch,,0,,western
514,SuperMarioLogan,,0,,western
515,SuperMarioLogan,,0,,western
516,SuperMarioLogan,,0,,western
517,Edith!,,0,,western
518,SuperMarioLogan,,0,,western
519,SuperMarioLogan,,0,,western
520,Fanny and the Pack,,0,,western
521,The Goodbye Family: The Animated Series,,0,,western
